musicId,fileName,title,artist,album,duration,chorus_start_time,chorus_end_time
81,81.mp3,Today,Brad Paisley,Today,26.1,02:17,02:41
89,89.mp3,Sleep Without You,Brett Young,Brett Young,30.11,02:12,02:40
90,90.mp3,Make Me...,Britney Spears,Make Me...,35.11,03:14,03:47
91,91.mp3,Slumber Party,Britney Spears,Glory (Deluxe Version),30.11,02:45,03:13
99,99.mp3,Versace On The Floor,Bruno Mars,24K Magic,26.1,03:39,04:03
105,105.mp3,Dancing on My Own,Calum Scott,Dancing on My Own,50.17,03:08,03:56
106,106.mp3,Slide,Calvin Harris,Slide,40.14,02:54,03:32
113,113.mp3,Crying In The Club,Camila Cabello,Crying In The Club,38.12,02:57,03:33
114,114.mp3,I Have Questions,Camila Cabello,I Have Questions,38.12,03:02,03:38
119,119.mp3,How Does A Moment Last Forever,Céline Dion,Beauty and the Beast (Original Motion Picture Soundtrack),59.17,02:03,03:00
123,123.mp3,The Only One Who Gets Me,Charles Kelley,The Driver,33.12,01:55,02:26
128,128.mp3,One Call Away,Charlie Puth,One Call Away (Acoustic),26.1,02:40,03:04
132,132.mp3,Everybody We Know Does,Chase Rice,Everybody We Know Does,46.13,02:46,03:30
133,133.mp3,No Promises,Cheat Codes,No Promises,62.18,02:41,03:41
135,135.mp3,Me and your Mama,Childish Gambino,Me and your Mama,41.13,02:59,03:38
136,136.mp3,Redbone,Childish Gambino,"""Awaken, My Love!""",50.17,02:43,03:31
140,140.mp3,Back To Sleep,Chris Brown,Back To Sleep,85.22,01:55,03:18
145,145.mp3,For Her,Chris Lane,Girl Problems,40.14,01:48,02:26
147,147.mp3,Broken Halos,Chris Stapleton,"From a Room, Vol. 1",52.16,02:06,02:56
148,148.mp3,Either Way,Chris Stapleton,From A Room: Volume 1,35.11,03:20,03:53
149,149.mp3,Fire Away,Chris Stapleton,Traveller,65.19,02:53,03:56
150,150.mp3,Parachute,Chris Stapleton,Traveller,43.15,03:23,04:04
151,151.mp3,Tennessee Whiskey,Chris Stapleton,Traveller,75.22,03:28,04:41
153,153.mp3,Sober Saturday Night (feat. Vince Gill),Chris Young,Sober Saturday Night (feat. Vince Gill),39.12,01:36,02:13
159,159.mp3,Tears (feat. Louisa Johnson),Clean Bandit,Tears ,49.14,02:43,03:30
166,166.mp3,Hypnotised,Coldplay,Hypnotised,38.12,05:03,05:39
169,169.mp3,You Should Be Here,Cole Swindell,You Should Be Here,32.1,02:27,02:57
170,170.mp3,The Scientist,Corinne Bailey Rae,Fifty Shades Darker (Original Motion Picture Soundtrack),42.13,02:04,02:44
174,174.mp3,Wishing,DJ Drama,Quality Street Music 2,26.1,03:06,03:30
175,175.mp3,Too Much Sauce,Future,Too Much Sauce,31.1,02:57,03:26
176,176.mp3,Shining,DJ Khaled,Shining,21.08,03:45,04:04
177,177.mp3,For Free,DJ Khaled,Major Key,30.11,02:12,02:40
179,179.mp3,I Got the Keys,DJ Khaled,I Got the Keys,33.12,03:00,03:31
181,181.mp3,Do You Mind,DJ Khaled,Major Key,18.09,04:59,05:15
187,187.mp3,OTW (Remix),DJ Luke Nasty,The Boom Boom Room,28.09,02:44,03:10
192,192.mp3,Turn Down for What,DJ Snake,Ultimate... Hip-Hop,23.09,02:12,02:33
196,196.mp3,Cash Me Outside (#CashmeOutside),DJ Suede The Remix God,Cash Me Outside (#CashMeOutside),16.08,00:31,00:45
201,201.mp3,From the Ground Up,Dan + Shay,Obsessed,32.1,03:23,03:53
202,202.mp3,How Not To,Dan + Shay,Obsessed,30.11,02:20,02:48
204,204.mp3,Evermore,Dan Stevens,Beauty and the Beast (Original Motion Picture Soundtrack),31.1,02:10,02:39
207,207.mp3,Titanium (Feat. Sia),David Guetta,Nothing But The Beat (US Edition),32.1,03:03,03:33
212,212.mp3,Body Say,Demi Lovato,Body Say,46.13,02:23,03:07
221,221.mp3,On My Mind,Disciples,On My Mind,33.12,02:29,03:00
222,222.mp3,The Sound Of Silence,Disturbed,Immortalized,39.12,03:05,03:42
224,224.mp3,Sneakin',Drake,Sneakin',24.09,03:35,03:57
225,225.mp3,Get It Together,Drake,More Life,20.08,02:56,03:14
227,227.mp3,Jumpman,Drake,What a Time To Be Alive,22.1,02:50,03:10
228,228.mp3,KMT,Drake,More Life,16.08,02:10,02:24
229,229.mp3,No Long Talk,Drake,More Life,36.13,01:35,02:09
230,230.mp3,Glow,Drake,More Life,28.09,02:59,03:25
232,232.mp3,Faithful,Drake,Views,39.12,03:44,04:21
233,233.mp3,Controlla,Drake,Controlla,60.17,03:05,04:03
234,234.mp3,Portland,Drake,More Life,29.11,02:58,03:25
235,235.mp3,Too Good,Drake,Views,25.11,03:32,03:55
237,237.mp3,Pop Style,Drake,Pop Style,44.14,01:50,02:32
238,238.mp3,One Dance,Drake,Views,20.08,02:30,02:48
239,239.mp3,Ice Melts,Drake,More Life,49.14,02:34,03:21
241,241.mp3,9,Drake,Views,19.09,02:54,03:11
242,242.mp3,Blem,Drake,More Life,29.11,02:17,02:44
251,251.mp3,Feel No Ways,Drake,Views,22.1,02:28,02:48
257,257.mp3,Gyalchester,Drake,More Life,61.19,01:17,02:16
260,260.mp3,Jorja Interlude,Drake,More Life,46.13,00:19,01:03
263,263.mp3,Keep The Family Close,Drake,Views,30.11,03:51,04:19
267,267.mp3,Nothings Into Somethings,Drake,More Life,41.13,00:47,01:26
273,273.mp3,Redemption,Drake,Views,49.14,02:34,03:21
280,280.mp3,Teenage Fever,Drake,More Life,38.12,02:18,02:54
284,284.mp3,Views,Drake,Views,32.1,03:13,03:43
287,287.mp3,Body,Dreezy,Body,25.11,03:12,03:35
298,298.mp3,Castle on the Hill,Ed Sheeran,÷ (Deluxe),29.11,03:45,04:12
299,299.mp3,How Would You Feel (Paean),Ed Sheeran,÷ (Deluxe),34.12,03:42,04:14
309,309.mp3,Infinite,Eminem,,26.1,03:31,03:55
310,310.mp3,Something There,Emma Watson,Beauty and the Beast (Original Motion Picture Soundtrack),29.11,01:33,02:00
312,312.mp3,DUELE EL CORAZON,Enrique Iglesias,DUELE EL CORAZON,32.1,02:33,03:03
314,314.mp3,Record Year,Eric Church,Mr. Misunderstood,29.11,02:10,02:37
315,315.mp3,Bring Me To Life,Evanescence,Daredevil - The Album (Music From The Motion Picture),44.14,03:00,03:42
321,321.mp3,All the Way Up,Fat Joe,All the Way Up,42.13,02:20,03:00
323,323.mp3,Life Goes On,Fergie,Life Goes On,22.1,03:06,03:26
325,325.mp3,Wake Up,Fetty Wap,Wake Up,44.14,02:30,03:12
326,326.mp3,All In My Head (Flex),Fifth Harmony,7/27,41.13,02:47,03:26
331,331.mp3,HandClap,Fitz,Fitz & the Tantrums,30.11,02:35,03:03
334,334.mp3,My House,Flo Rida,空,25.11,02:43,03:06
337,337.mp3,May We All,Florida Georgia Line,Dig Your Roots,54.17,02:42,03:34
339,339.mp3,H.O.L.Y,Florida Georgia Line,H.O.L.Y,27.1,02:30,02:55
341,341.mp3,Smooth,Florida Georgia Line,Dig Your Roots,26.1,02:00,02:24
343,343.mp3,Say It,Flume,Say It,27.1,03:54,04:19
347,347.mp3,Chanel,Frank Ocean,Chanel,32.1,02:54,03:24
348,348.mp3,Ivy,Frank Ocean,Blonde,69.2,02:39,03:46
349,349.mp3,Nights,Frank Ocean,Blonde,36.13,04:27,05:01
350,350.mp3,Nikes,Frank Ocean,Blonde,36.13,04:05,04:39
351,351.mp3,Pink + White,Frank Ocean,Blonde,54.17,02:00,02:52
354,354.mp3,No Shopping,French Montana,No Shopping,40.14,02:47,03:25
355,355.mp3,Lockjaw,French Montana,Lockjaw,29.11,03:07,03:34
358,358.mp3,Wicked Version,Future Pigeon,The Echodelic Sounds Of Future Pigeon,46.13,01:52,02:36
362,362.mp3,Low Life (feat. The Weeknd),Future,EVOL,27.1,03:27,03:52
364,364.mp3,Draco,Future,FUTURE,58.18,02:29,03:25
366,366.mp3,Mask Off,Future,FUTURE,41.13,02:33,03:12
370,370.mp3,Super Trapper,Future,FUTURE,23.09,03:12,03:33
376,376.mp3,Some Kind Of Drug,G-Eazy,When It's Dark Out,31.1,02:48,03:17
381,381.mp3,No Money,Galantis,No Money,17.07,02:18,02:33
382,382.mp3,She Sets The City On Fire,Gavin DeGraw,She Sets The City On Fire,33.12,02:49,03:20
389,389.mp3,I Hate U I Love U,Gnash,I Hate U I Love U,24.09,03:18,03:40
393,393.mp3,Saturnz Barz,Gorillaz,Humanz (Deluxe),25.11,02:36,02:59
401,401.mp3,Make Love,Gucci Mane,Make Love,46.13,03:34,04:18
410,410.mp3,Now Or Never,Halsey,Now Or Never,54.17,02:37,03:29
411,411.mp3,Every Breath You Take (The Voice Performance),Hannah Huston,The Complete Season 10 Collection (The Voice Performance),44.14,02:13,02:55
412,412.mp3,I Call the Shots (The Voice Performance),Hannah Huston,The Complete Season 10 Collection (The Voice Performance),27.1,02:10,02:35
415,415.mp3,Guys My Age(Stripped),Hey Violet,Guys My Age (Stripped),32.1,02:37,03:07
419,419.mp3,Higher Love,Hunter Plake,Higher Love (The Voice Performance),30.11,02:50,03:18
420,420.mp3,Mo Bounce,Iggy Azalea,Mo Bounce,47.15,02:55,03:40
421,421.mp3,Team(Young Bombs Remix),Iggy Azalea,Team (Young Bombs Remix),57.18,03:25,04:20
424,424.mp3,Not Today,Imagine Dragons,Me Before You (Original Motion Picture Soundtrack),40.14,03:10,03:48
427,427.mp3,Whatever It Takes,Imagine Dragons,Whatever It Takes,30.11,02:46,03:14
428,428.mp3,Did You See,J Hus,Did You See,22.1,02:42,03:02
429,429.mp3,4 Your Eyez Only,J. Cole,4 Your Eyez Only,32.1,05:20,05:50
432,432.mp3,False Prophets,J. Cole,False Prophets,24.09,03:33,03:55
433,433.mp3,Foldin Clothes,J. Cole,4 Your Eyez Only,37.13,03:10,03:45
434,434.mp3,For Whom the Bell Tolls,J. Cole,4 Your Eyez Only,31.1,01:06,01:35
435,435.mp3,Immortal,J. Cole,4 Your Eyez Only,27.1,01:40,02:05
436,436.mp3,Neighbors,J. Cole,4 Your Eyez Only,34.12,02:18,02:50
437,437.mp3,"She's Mine, Pt. 1",J. Cole,4 Your Eyez Only,16.08,02:46,03:00
438,438.mp3,"She's Mine, Pt. 2",J. Cole,4 Your Eyez Only,17.07,02:58,03:13
439,439.mp3,Ville Mentality,J. Cole,4 Your Eyez Only,25.11,02:25,02:48
441,441.mp3,September Song,JP Cooper,September Song,36.13,02:56,03:30
445,445.mp3,Safe Inside,James Arthur,Back from the Edge,40.14,02:42,03:20
446,446.mp3,Say You Won't Let Go,James Arthur,Say You Won't Let Go,56.16,02:26,03:20
447,447.mp3,Let It Go,James Bay,Power Hits 2015,28.09,03:35,04:01
451,451.mp3,If It Ain't Love,Jason Derulo,If It Ain't Love,33.12,02:50,03:21
452,452.mp3,You Don't Know Me,Jax Jones,You Don't Know Me,44.14,02:47,03:29
456,456.mp3,Unlove You,Jennifer Nettles,Playing With Fire,27.1,03:06,03:31
461,461.mp3,Changing,John Mayer,The Search for Everything - Wave One,20.08,01:27,01:45
462,462.mp3,Love On The Weekend,John Mayer,Love On The Weekend,24.09,03:00,03:22
478,478.mp3,Hometown Girl,Josh Turner,Hometown Girl,45.14,02:30,03:13
479,479.mp3,Get Your Freedom,Joy Villa,Get Your Freedom,23.09,02:14,02:35
486,486.mp3,. Love Yourself,Justin Bieber,Purpose (Deluxe),42.13,03:12,03:52
491,491.mp3,Way Down We Go,Kaleo,A/B,49.14,01:10,01:57
492,492.mp3,What Ifs,Kane Brown,Kane Brown,34.12,02:18,02:50
500,500.mp3,Swish Swish,Katy Perry,Swish Swish,35.11,03:26,03:59
501,501.mp3,Chained To The Rhythm,Katy Perry,Chained To The Rhythm,44.14,03:13,03:55
512,512.mp3,Piece By Piece (Idol Version),Kelly Clarkson,Piece by Piece (Idol Version),32.1,03:01,03:31
516,516.mp3,LOYALTY.,Kendrick Lamar,DAMN.,29.11,03:18,03:45
517,517.mp3,XXX.,Kendrick Lamar,DAMN.,21.08,03:55,04:14
518,518.mp3,LOVE.,Kendrick Lamar,DAMN.,22.1,03:10,03:30
520,520.mp3,DNA.,Kendrick Lamar,DAMN.,63.18,02:03,03:04
521,521.mp3,DUCKWORTH.,Kendrick Lamar,DAMN.,62.18,02:30,03:30
524,524.mp3,FEEL.,Kendrick Lamar,DAMN.,22.1,02:50,03:10
525,525.mp3,GOD.,Kendrick Lamar,DAMN.,33.12,02:39,03:10
530,530.mp3,LUST.,Kendrick Lamar,DAMN.,38.12,04:30,05:06
531,531.mp3,PRIDE.,Kendrick Lamar,DAMN.,51.16,03:42,04:31
541,541.mp3,Location,Khalid,Location,47.15,02:00,02:45
544,544.mp3,Picture,Kid Rock,The Studio Albums: 1998 - 2012,72.21,03:45,04:55
548,548.mp3,Gold,Kiiara,Gold,37.13,03:00,03:35
550,550.mp3,Everything 1K,Kodak Black,Lil Big Pac,32.1,02:35,03:05
551,551.mp3,Tunnel Vision,Kodak Black,Tunnel Vision,52.16,03:10,04:00
558,558.mp3,iSpy,Kyle,iSpy,17.07,03:50,04:05
564,564.mp3,Just Dance(Richard Vission Remix),Lady GaGa,Just Dance,47.15,04:15,05:00
565,565.mp3,A-Yo,Lady Gaga,A-Yo,37.13,02:50,03:25
567,567.mp3,Applause,Lady GaGa,ARTPOP,32.1,03:00,03:30
568,568.mp3,Bad Romance,Lady GaGa,2010 The Hottest,34.12,04:11,04:43
571,571.mp3,Paparazzi,Lady GaGa,The Fame,35.11,02:47,03:20
573,573.mp3,Poker Face,Lady GaGa,The Fame,76.22,02:41,03:55
580,580.mp3,Road Less Traveled,Lauren Alaina,Lauren Alaina,37.13,02:45,03:20
583,583.mp3,The Dance,Lauren Duski,The Dance (The Voice Performance),39.12,02:40,03:17
584,584.mp3,Boy,Lee Brice,Boy,17.07,02:25,02:40
585,585.mp3,That Don't Sound Like You,Lee Brice,I Don't Dance,32.1,02:30,03:00
590,590.mp3,XO TOUR Llif3,Lil Uzi Vert,XO TOUR Llif3,53.15,02:09,03:00
598,598.mp3,Battle Symphony,Linkin Park,One More Light,30.11,03:02,03:30
599,599.mp3,Better Man,Little Big Town,Better Man,37.13,03:40,04:15
600,600.mp3,Girl Crush,Little Big Town,Pain Killer,29.11,02:13,02:40
603,603.mp3,No More Sad Songs,Little Mix,No More Sad Songs,22.1,03:00,03:20
607,607.mp3,I Know Somebody,Locash,I Love This Life,44.14,02:09,02:51
611,611.mp3,Everybody,Logic,Everybody,17.07,01:50,02:05
616,616.mp3,So Good,Louisa Johnson,So Good,30.11,02:38,03:06
617,617.mp3,Despacito,Luis Fonsi,Despacito (Remix),24.09,02:52,03:14
621,621.mp3,7 Years,Lukas Graham,Lukas Graham,22.1,03:31,03:51
622,622.mp3,Mama Said,Lukas Graham,KISS Kesähitti,25.11,02:24,02:47
623,623.mp3,Country Girl (Shake It For Me),Luke Bryan,Tailgates &amp; Tanlines,37.13,03:00,03:35
624,624.mp3,Fast,Luke Bryan,Kill the Lights,29.11,02:24,02:51
629,629.mp3,Jump,Lupe Fiasco,DROGAS Light,29.11,03:12,03:39
632,632.mp3,At My Best,Machine Gun Kelly,At My Best,25.11,02:40,03:03
634,634.mp3,Uber Everywhere,MadeinTYO,Uber Everywhere,45.14,01:41,02:24
639,639.mp3,Run Up,Major Lazer,Run Up,18.09,02:45,03:01
643,643.mp3,Felices los 4,Maluma,Felices los 4,24.09,03:14,03:36
644,644.mp3,You & Me,Marc E. Bassy,You & Me,24.09,02:50,03:12
647,647.mp3,I Could Use a Love Song,Maren Morris,Hero,26.1,02:36,03:00
648,648.mp3,My Church,Maren Morris,Hero,38.12,02:30,03:06
656,656.mp3,Cold,Maroon 5,Cold,40.14,02:28,03:06
659,659.mp3,She Will Be Loved,Maroon 5,Songs About Jane,33.12,02:34,03:05
670,670.mp3,When Christmas Comes Around,Matt Terry,When Christmas Comes Around,39.12,02:35,03:12
671,671.mp3,Litty (feat. Tory Lanez),Meek Mill,DC4,30.11,03:57,04:25
672,672.mp3,Blessed Up,Meek Mill,DC4,23.09,02:37,02:58
673,673.mp3,Blue Notes,Meek Mill,DC4,65.19,01:16,02:19
675,675.mp3,Offended (feat. Young Thug & 21 Savage),Meek Mill,DC4,48.15,02:43,03:29
676,676.mp3,On The Regular,Meek Mill,DC4,25.11,02:34,02:57
677,677.mp3,The Difference (feat. Quavo),Meek Mill,DC4,30.11,02:20,02:48
681,681.mp3,NO,Meghan Trainor,NO,38.12,02:57,03:33
683,683.mp3,It's Beginning To Look A Lot Like Christmas,Michael Bublé,Christmas,45.14,02:32,03:15
688,688.mp3,Bad and Boujee,Migos,Bad and Boujee,17.07,05:02,05:17
692,692.mp3,Call Casting,Migos,Culture,16.08,03:19,03:33
693,693.mp3,Culture,Migos,Culture,21.08,02:09,02:28
694,694.mp3,Get Right Witcha,Migos,Culture,26.1,03:46,04:10
697,697.mp3,T-Shirt,Migos,Culture,36.13,03:27,04:01
698,698.mp3,What the Price,Migos,Culture,51.16,03:19,04:08
705,705.mp3,Tin Man,Miranda Lambert,The Weight of These Wings,47.15,01:41,02:26
710,710.mp3,Final Song,MØ,Final Song,42.13,01:47,02:27
713,713.mp3,The Mack,Nevada,The Mack,37.13,01:12,01:47
717,717.mp3,Slow Hands,Niall Horan,Slow Hands,32.1,01:36,02:06
726,726.mp3,Jealous,Nick Jonas,Nick Jonas,45.14,01:31,02:14
728,728.mp3,Changed It,Nicki Minaj,Changed It,42.13,03:45,04:25
729,729.mp3,Black Barbies,Nicki Minaj,Black Barbies1,35.11,02:25,02:58
731,731.mp3,El Amante,Nicky Jam,Fénix,44.14,01:57,02:39
733,733.mp3,Make Me (Cry),Noah Cyrus,Make Me (Cry),27.1,02:13,02:38
736,736.mp3,Cut It (feat. Young Dolph),O.T. Genasis,Cut It,45.14,02:13,02:56
739,739.mp3,Snapback,Old Dominion,Snapback,39.12,01:49,02:26
744,744.mp3,Kids,OneRepublic,Kids,61.19,02:43,03:42
748,748.mp3,Come and See Me,PARTYNEXTDOOR,Come and See Me,27.1,01:58,02:23
749,749.mp3,Not Nice,PARTYNEXTDOOR,Not Nice,46.13,01:37,02:21
750,750.mp3,Magnolia,PLAYBOI CARTI,Playboi Carti,49.14,01:43,02:30
752,752.mp3,Bohemian Rhapsody,Panic! At The Disco,Suicide Squad: The Album,41.13,03:23,04:02
753,753.mp3,Death Of A Bachelor,Panic! At The Disco,Death Of A Bachelor,29.11,01:56,02:23
757,757.mp3,"Mary, Did You Know?",Pentatonix,That's Christmas To Me,38.12,02:37,03:13
763,763.mp3,Hey There Delilah (Bonus),Plain White T's,Every Second Counts,41.13,03:04,03:43
771,771.mp3,I Would Die 4 U,Prince,Purple Rain (Soundtrack from the Motion Picture),28.09,01:40,02:06
774,774.mp3,Little Red Corvette,Prince,The Very Best Of Prince,52.16,02:20,03:10
778,778.mp3,Fight Song,Rachel Platten,Fight Song,43.15,01:39,02:20
779,779.mp3,Creep,Radiohead,Pablo Honey,68.21,02:03,03:09
783,783.mp3,Look Alive,Rae Sremmurd,Look Alive,32.1,02:56,03:26
792,792.mp3,Back to God,Reba McEntire,Sing It Now: Songs of Faith and Hope,42.13,03:04,03:44
796,796.mp3,Trap Trap Trap,Rick Ross,Rather You Than Me,31.1,03:52,04:21
806,806.mp3,Héroe Favorito,Romeo Santos,Héroe Favorito,32.1,03:16,03:46
808,808.mp3,What They Want,Russ,What They Want,32.1,02:03,02:33
810,810.mp3,City Of Stars,Ryan Gosling,La La Land (Original Motion Picture Soundtrack),35.11,01:18,01:51
815,815.mp3,Drinkin' Too Much (8pm),Sam Hunt,Drinkin' Too Much,32.1,02:31,03:01
816,816.mp3,Make You Miss Me(Acoustic Mixtape),Sam Hunt,Between The Pines (Acoustic Mixtape),33.12,01:30,02:01
818,818.mp3,THat Part,Schoolboy Q,THat Part,32.1,03:58,04:28
820,820.mp3,Five More Minutes,Scotty McCreery,Five More Minutes,36.13,03:04,03:38
823,823.mp3,Bad Liar,Selena Gomez,Bad Liar,34.12,02:55,03:27
827,827.mp3,Merry Christmas Everyone,Shakin' Stevens,The Hits Of Shakin' Stevens Vol II,41.13,01:36,02:15
830,830.mp3,Me Enamoré,Shakira,Me Enamoré,39.12,02:43,03:20
833,833.mp3,"Stitches(From ""Dance Camp"" Original Motion Picture Soundtrack)",Shawn Mendes,Dance Camp (Original Motion Picture Soundtrack),41.13,02:45,03:24
835,835.mp3,Treat You Better,Shawn Mendes,Treat You Better,36.13,02:18,02:52
844,844.mp3,Find Me,Sigma,Find Me,32.1,02:52,03:22
852,852.mp3,Cranes in the Sky,Solange,A Seat at the Table,47.13,03:26,04:11
854,854.mp3,Call on Me,Starley,Call on Me (Ryan Riback Remix),56.16,02:26,03:20
857,857.mp3,Big For Your Boots,Stormzy,Big For Your Boots,43.15,03:00,03:41
861,861.mp3,Giants,Take That,Giants,49.14,02:58,03:45
864,864.mp3,First Day Out,Tee Grizzley,First Day Out,65.19,03:04,04:07
869,869.mp3,All We Know,The Chainsmokers,All We Know,25.11,02:17,02:40
870,870.mp3,Roses,The Chainsmokers,SO FRESH 2016,40.14,02:24,03:02
876,876.mp3,Paris,The Chainsmokers,Paris,43.15,02:41,03:22
879,879.mp3,The One,The Chainsmokers,The One,25.11,01:22,01:45
880,880.mp3,Glad All Over,The Dave Clark Five,Glad All Over,46.13,01:57,02:41
882,882.mp3,Mr. Brightside,The Killers,Hot Fuss,28.09,02:29,02:55
890,890.mp3,All Night,The Vamps,All Night,30.11,02:13,02:41
897,897.mp3,Acquainted,The Weeknd,Beauty Behind The Madness,41.13,03:20,03:59
904,904.mp3,Nothing Without You,The Weeknd,Starboy,43.15,01:53,02:34
906,906.mp3,Party Monster,The Weeknd,Starboy,55.17,02:47,03:40
907,907.mp3,Reminder,The Weeknd,Starboy,60.17,02:13,03:11
911,911.mp3,Six Feet Under,The Weeknd,Starboy,87.24,02:32,03:57
913,913.mp3,Stargirl Interlude,The Weeknd,Starboy,34.12,00:39,01:11
916,916.mp3,On Hold,The xx,I See You,35.11,03:11,03:44
918,918.mp3,Die A Happy Man,Thomas Rhett,Die A Happy Man,32.1,03:10,03:40
921,921.mp3,Vacation,Thomas Rhett,Tangled Up,40.14,01:54,02:32
926,926.mp3,Humble and Kind,Tim Mcgraw,Damn Country Music,38.12,03:29,04:05
928,928.mp3,Text from Your Ex,Tinie Tempah,Text fom Your Ex,52.16,02:35,03:25
929,929.mp3,You Want Me,Tom Zanetti,You Want Me,48.15,02:22,03:08
934,934.mp3,Beibs in the Trap,Travis Scott,Birds in the Trap Sing McKnight,34.12,02:31,03:03
935,935.mp3,Goosebumps,Travis Scott,Birds in the Trap Sing McKnight,47.15,03:18,04:03
936,936.mp3,Nobody Else But You,Trey Songz,Nobody Else But You,52.16,02:58,03:48
940,940.mp3,Heathens,Twenty One Pilots,TOPxMM,68.21,02:09,03:15
941,941.mp3,Cancer,Twenty One Pilots,Cancer,40.14,03:13,03:51
943,943.mp3,Ride,Twenty One Pilots,Blurryface Live,38.12,02:51,03:27
957,957.mp3,Pull Up (feat. Lil Uzi Vert),Wiz Khalifa,Pull Up ,28.09,02:42,03:08
958,958.mp3,I Wish It Could Be Christmas Everyday,Wizzard,I Wish It Could Be Christmas Everyday,64.17,02:52,03:54
962,962.mp3,Look At Me!,XXXTENTACION,Look At Me!,29.11,01:41,02:08
964,964.mp3,Everyday We Lit,YFN Lucci,Everyday We Lit,47.15,02:25,03:10
965,965.mp3,Why You Always Hatin?,YG,Why You Always Hatin?,64.17,01:55,02:57
968,968.mp3,Moolah,Young Greatness,Moolah,42.13,02:43,03:23
971,971.mp3,Gang Up,Young Thug,Fast & Furious 8: The Album,64.17,02:45,03:47
978,978.mp3,Castaway,Zac Brown Band,JEKYLL + HYDE,36.13,02:34,03:08
979,979.mp3,My Old Man,Zac Brown Band,My Old Man,30.11,03:10,03:38
984,984.mp3,I Would Like,Zara Larsson,I Would Like,61.19,02:47,03:46
985,985.mp3,Lush Life,Zara Larsson,Lush Life,46.13,02:37,03:21
989,989.mp3,Juju On That Beat (TZ Anthem),Zay Hilfigerrr,This Is A Challenge,66.19,01:20,02:24
